sepal.length;sepal.width;petal.length;petal.width;variety
51;35;14;.2;Setosa
49;3;14;.2;Setosa
47;32;13;.2;Setosa
46;31;15;.2;Setosa
5;36;14;.2;Setosa
54;39;17;.4;Setosa
46;34;14;.3;Setosa
5;34;15;.2;Setosa
44;29;14;.2;Setosa
49;31;15;.1;Setosa
54;37;15;.2;Setosa
48;34;16;.2;Setosa
48;3;14;.1;Setosa
43;3;11;.1;Setosa
58;4;12;.2;Setosa
57;44;15;.4;Setosa
54;39;13;.4;Setosa
51;35;14;.3;Setosa
57;38;17;.3;Setosa
51;38;15;.3;Setosa
54;34;17;.2;Setosa
51;37;15;.4;Setosa
46;36;1;.2;Setosa
51;33;17;.5;Setosa
48;34;19;.2;Setosa
5;3;16;.2;Setosa
5;34;16;.4;Setosa
52;35;15;.2;Setosa
52;34;14;.2;Setosa
47;32;16;.2;Setosa
48;31;16;.2;Setosa
54;34;15;.4;Setosa
52;41;15;.1;Setosa
55;42;14;.2;Setosa
49;31;15;.2;Setosa
5;32;12;.2;Setosa
55;35;13;.2;Setosa
49;36;14;.1;Setosa
44;3;13;.2;Setosa
51;34;15;.2;Setosa
5;35;13;.3;Setosa
45;23;13;.3;Setosa
44;32;13;.2;Setosa
5;35;16;.6;Setosa
51;38;19;.4;Setosa
48;3;14;.3;Setosa
51;38;16;.2;Setosa
46;32;14;.2;Setosa
53;37;15;.2;Setosa
5;33;14;.2;Setosa
7;32;47;1.4;Versicolor
64;32;45;1.5;Versicolor
69;31;49;1.5;Versicolor
55;23;4;1.3;Versicolor
65;28;46;1.5;Versicolor
57;28;45;1.3;Versicolor
63;33;47;1.6;Versicolor
49;24;33;1;Versicolor
66;29;46;1.3;Versicolor
52;27;39;1.4;Versicolor
5;2;35;1;Versicolor
59;3;42;1.5;Versicolor
6;22;4;1;Versicolor
61;29;47;1.4;Versicolor
56;29;36;1.3;Versicolor
67;31;44;1.4;Versicolor
56;3;45;1.5;Versicolor
58;27;41;1;Versicolor
62;22;45;1.5;Versicolor
56;25;39;1.1;Versicolor
59;32;48;1.8;Versicolor
61;28;4;1.3;Versicolor
63;25;49;1.5;Versicolor
61;28;47;1.2;Versicolor
64;29;43;1.3;Versicolor
66;3;44;1.4;Versicolor
68;28;48;1.4;Versicolor
67;3;5;1.7;Versicolor
6;29;45;1.5;Versicolor
57;26;35;1;Versicolor
55;24;38;1.1;Versicolor
55;24;37;1;Versicolor
58;27;39;1.2;Versicolor
6;27;51;1.6;Versicolor
54;3;45;1.5;Versicolor
6;34;45;1.6;Versicolor
67;31;47;1.5;Versicolor
63;23;44;1.3;Versicolor
56;3;41;1.3;Versicolor
55;25;4;1.3;Versicolor
55;26;44;1.2;Versicolor
61;3;46;1.4;Versicolor
58;26;4;1.2;Versicolor
5;23;33;1;Versicolor
56;27;42;1.3;Versicolor
57;3;42;1.2;Versicolor
57;29;42;1.3;Versicolor
62;29;43;1.3;Versicolor
51;25;3;1.1;Versicolor
57;28;41;1.3;Versicolor
63;33;6;2.5;Virginica
58;27;51;1.9;Virginica
71;3;59;2.1;Virginica
63;29;56;1.8;Virginica
65;3;58;2.2;Virginica
76;3;66;2.1;Virginica
49;25;45;1.7;Virginica
73;29;63;1.8;Virginica
67;25;58;1.8;Virginica
72;36;61;2.5;Virginica
65;32;51;2;Virginica
64;27;53;1.9;Virginica
68;3;55;2.1;Virginica
57;25;5;2;Virginica
58;28;51;2.4;Virginica
64;32;53;2.3;Virginica
65;3;55;1.8;Virginica
77;38;67;2.2;Virginica
77;26;69;2.3;Virginica
6;22;5;1.5;Virginica
69;32;57;2.3;Virginica
56;28;49;2;Virginica
77;28;67;2;Virginica
63;27;49;1.8;Virginica
67;33;57;2.1;Virginica
72;32;6;1.8;Virginica
62;28;48;1.8;Virginica
61;3;49;1.8;Virginica
64;28;56;2.1;Virginica
72;3;58;1.6;Virginica
74;28;61;1.9;Virginica
79;38;64;2;Virginica
64;28;56;2.2;Virginica
63;28;51;1.5;Virginica
61;26;56;1.4;Virginica
77;3;61;2.3;Virginica
63;34;56;2.4;Virginica
64;31;55;1.8;Virginica
6;3;48;1.8;Virginica
69;31;54;2.1;Virginica
67;31;56;2.4;Virginica
69;31;51;2.3;Virginica
58;27;51;1.9;Virginica
68;32;59;2.3;Virginica
67;33;57;2.5;Virginica
67;3;52;2.3;Virginica
63;25;5;1.9;Virginica
65;3;52;2;Virginica
62;34;54;2.3;Virginica
59;3;51;1.8;Virginica
